Uuid,Role name,Description,Inherited roles,Privileges,_order:1000
348d9ed0-87dd-449d-94f7-10ebcc25e7fe,O3 Accountant,Accountant role that views facility bills and records payments and waivers,,O3 View Accounting Dashboard,
f1b98407-5b32-4daa-b386-297148a0d333,O3 Registration Clerk,"Responsibile for pulling clients from CR, registering them and adding them to triage",,O3 View Client Registry Dashboard,
6ba59ea3-95f1-44d7-9535-8ea08fb4aa88,O3 Triage Nurse,Selects patients from Triage queue and fills their triage data,,O3 View Triage Dashboard,
63cb6041-a91a-4638-b906-5c21b5306d7b,O3 Triage Queue Manager,Able to clear triage queue,,O3 View Triage Dashboard;O3 Clear Triage Queue,
15039381-31f3-4cc8-bfc8-86baec8a00de,O3 Retention Officer,Follows up on Patients using appointments dashboard,,O3 View Appointments Dashboard;O3 View Bookings Dashboard,
6294d7ee-c804-4c58-9862-7027384ffedb,O3 Pharmacist,,,O3 View Pharmacy Dashboard,
a2bdee92-df4e-4e97-97a3-afe4a9a272fe,O3 Radiologist,Handles Radiology samples,,O3 View Radiology Dashboard,
29165f2f-22bd-402c-bde3-f6b84c01ea07,O3 Procedure Nurse,Handle Procedures like injections,,O3 View Procedures Dashboard,
aa6a155c-58b8-4796-8508-645226099c46,O3 Lab Technician,Handle Lab Samples,,O3 View Labs Dashboard,
6a8c2570-009d-4a4b-97c8-5c7d13d9848f,O3 MNCH Triage Nurse,Handle MNCH Triage Patients,,O3 View MNCH Dashboard,
db4916bc-0512-4c99-9885-7b06be6f6639,O3 Admissions Officer,Handle Inpatient admissions,,O3 View Admissions Dashboard,
bedcccf1-3cae-4e81-b45a-a2e2c8ccc60d,O3 M&E Officer,View MOH Reports,,O3 View Reports Dashboard,
6ba959dc-ab61-42b4-b74b-44a38245514c,O3 Mortician,"Handle mortuary admissions,billing,discharge etc",,O3 View Mortuary Dashboard,
d0b7bc45-115d-4eac-81c6-a5e848bb7092,O3 Clinician,View consultation patients,,O3 View Consultation Dashboard,
